id,popularity
06aw4JI5nYa8XBeBKVrltZ,0
06b3VaFsqYqbvQj1zFV5KM,0
06bp6mIqFstXamxGpqWyyo,45
06cHfRigADx8K8oyvQUZTu,54
06cPZoDCUyFfgaSEUu5HKj,0
06cga4eoIoM64vCvxkZaZ4,0
06cu3EF2msKUEy0kCaY8tR,46
06cxuuQ7tbiHBnslzEvaCm,0
06dAFXkgM2OGAkGS3CxpEm,57
06ephoDdMTakuhbt9JEppN,23
06fOl4WZi4XJlP71fWFtwN,0
06ngjaiEea4jvIcAIcxcGr,0
06nw88aK8vHYRnT4JPrE7I,0
06o6dZ9ekqfEvQNRePKoZg,49
06o74igG4PjpZD0mrc47od,15
06p6rTVmcxF7eK6ggOLmua,40
06pCh2VEABApFIzEDxIako,0
06pQZG3BrfGCVvB9xmia1f,48
06qEvINEo4vjkZUCN06SmT,0
06qJ3Zo0VBiPfKQadvdNs9,20
06qKsOkkOeZzGyciSEuyJb,48
06qRsEl0V4EwRkEPGAhE0K,0
06qZDOq8s6eiITgHCIVOEE,35
06qbduZqvg9AnJbsec5Hvs,32
06qoS4JCkf8cNzssYd9eQi,0
06sZJEgz5Vk08EFStnq2Xg,0
06u5LrUpbosQlQ1QJFhPpG,71
06veBHn963pBCREDbPVgJR,0
06wTEKL2rSrSaOjFtgG8fj,57
